Density	Attempt	Steps
0,44999999999999996	47	1000
0,44999999999999996	48	787
0,44999999999999996	49	281
0,44999999999999996	50	79
0,49999999999999994	1	310
0,49999999999999994	2	805
0,49999999999999994	3	195
0,49999999999999994	4	157
0,49999999999999994	5	744
0,49999999999999994	6	496
0,49999999999999994	7	623
0,49999999999999994	8	501
0,49999999999999994	9	433
0,49999999999999994	10	589
0,49999999999999994	11	207
0,49999999999999994	12	265
0,49999999999999994	13	490
0,49999999999999994	14	222
0,49999999999999994	15	191
0,49999999999999994	16	267
0,49999999999999994	17	227
0,49999999999999994	18	256
0,49999999999999994	19	239
0,49999999999999994	20	155
0,49999999999999994	21	425
0,49999999999999994	22	123
0,49999999999999994	23	897
0,49999999999999994	24	342
0,49999999999999994	25	480
0,49999999999999994	26	332
0,49999999999999994	27	533
0,49999999999999994	28	422
0,49999999999999994	29	1000
0,49999999999999994	30	203
0,49999999999999994	31	832
0,49999999999999994	32	596
0,49999999999999994	33	139
0,49999999999999994	34	402
0,49999999999999994	35	97
0,49999999999999994	36	415
0,49999999999999994	37	1000
0,49999999999999994	38	129
0,49999999999999994	39	633
0,49999999999999994	40	241
0,49999999999999994	41	179
0,49999999999999994	42	195
0,49999999999999994	43	77
0,49999999999999994	44	326
0,49999999999999994	45	525
0,49999999999999994	46	302
0,49999999999999994	47	118
0,49999999999999994	48	838
0,49999999999999994	49	270
0,49999999999999994	50	985
0,5499999999999999	1	360
0,5499999999999999	2	149
0,5499999999999999	3	192
0,5499999999999999	4	65
0,5499999999999999	5	580
0,5499999999999999	6	331
0,5499999999999999	7	447
0,5499999999999999	8	157
0,5499999999999999	9	293
0,5499999999999999	10	73
0,5499999999999999	11	357
0,5499999999999999	12	460
0,5499999999999999	13	605
0,5499999999999999	14	352
0,5499999999999999	15	136
0,5499999999999999	16	513
0,5499999999999999	17	125
0,5499999999999999	18	460
0,5499999999999999	19	584
0,5499999999999999	20	357
0,5499999999999999	21	503
0,5499999999999999	22	648
0,5499999999999999	23	204
0,5499999999999999	24	695
0,5499999999999999	25	267
0,5499999999999999	26	344
0,5499999999999999	27	231
0,5499999999999999	28	487
0,5499999999999999	29	257
0,5499999999999999	30	437
0,5499999999999999	31	194
0,5499999999999999	32	420
0,5499999999999999	33	402
0,5499999999999999	34	155
0,5499999999999999	35	415
0,5499999999999999	36	635
0,5499999999999999	37	438
0,5499999999999999	38	279
0,5499999999999999	39	468
0,5499999999999999	40	254
0,5499999999999999	41	186
0,5499999999999999	42	194
0,5499999999999999	43	349
0,5499999999999999	44	134
0,5499999999999999	45	118
0,5499999999999999	46	536
0,5499999999999999	47	497
0,5499999999999999	48	303
0,5499999999999999	49	292
0,5499999999999999	50	93
0,6	1	573
0,6	2	352
0,6	3	466
0,6	4	214
0,6	5	564
0,6	6	418
0,6	7	645
0,6	8	346
0,6	9	221
0,6	10	554
0,6	11	1000
0,6	12	382
0,6	13	226
0,6	14	144
0,6	15	90
0,6	16	768
0,6	17	92
0,6	18	926
0,6	19	375
0,6	20	243
0,6	21	573
0,6	22	257
0,6	23	95
0,6	24	165
0,6	25	674
0,6	26	120
0,6	27	50
0,6	28	576
0,6	29	140
0,6	30	614
0,6	31	156
0,6	32	124
0,6	33	471
0,6	34	509
0,6	35	774
0,6	36	513
0,6	37	107
0,6	38	952
0,6	39	418
0,6	40	1000
0,6	41	539
0,6	42	356
0,6	43	542
0,6	44	626
0,6	45	799
0,6	46	287
0,6	47	790
0,6	48	325
0,6	49	272
0,6	50	220
0,65	1	100
0,65	2	38
0,65	3	613
0,65	4	499
0,65	5	26
0,65	6	124
0,65	7	765
0,65	8	30
0,65	9	331
0,65	10	421
0,65	11	92
0,65	12	39
0,65	13	90
0,65	14	145
0,65	15	90
0,65	16	192
0,65	17	84
0,65	18	233
0,65	19	730
0,65	20	21
0,65	21	481
0,65	22	204
0,65	23	195
0,65	24	89
0,65	25	193
0,65	26	107
0,65	27	33
0,65	28	122
0,65	29	69
0,65	30	455
0,65	31	45
0,65	32	151
0,65	33	73
0,65	34	66
0,65	35	64
0,65	36	97
0,65	37	128
0,65	38	448
0,65	39	143
0,65	40	283
0,65	41	71
0,65	42	737
0,65	43	301
0,65	44	247
0,65	45	468
0,65	46	56
0,65	47	295
0,65	48	359
0,65	49	203
0,65	50	237
0,7000000000000001	1	22
0,7000000000000001	2	16
0,7000000000000001	3	21
0,7000000000000001	4	58
0,7000000000000001	5	262
0,7000000000000001	6	16
0,7000000000000001	7	39
0,7000000000000001	8	73
0,7000000000000001	9	24
0,7000000000000001	10	203
0,7000000000000001	11	49
0,7000000000000001	12	31
0,7000000000000001	13	41
0,7000000000000001	14	35
0,7000000000000001	15	1000
0,7000000000000001	16	37
0,7000000000000001	17	76
0,7000000000000001	18	215
0,7000000000000001	19	17
0,7000000000000001	20	157
0,7000000000000001	21	178
0,7000000000000001	22	294
0,7000000000000001	23	462
0,7000000000000001	24	192
0,7000000000000001	25	40
0,7000000000000001	26	269
0,7000000000000001	27	13
0,7000000000000001	28	414
0,7000000000000001	29	26
0,7000000000000001	30	133
0,7000000000000001	31	269
0,7000000000000001	32	54
0,7000000000000001	33	20
0,7000000000000001	34	116
0,7000000000000001	35	83
0,7000000000000001	36	27
0,7000000000000001	37	19
0,7000000000000001	38	47
0,7000000000000001	39	13
0,7000000000000001	40	16
0,7000000000000001	41	227
0,7000000000000001	42	417
0,7000000000000001	43	607
0,7000000000000001	44	22
0,7000000000000001	45	66
0,7000000000000001	46	32
0,7000000000000001	47	129
0,7000000000000001	48	196
0,7000000000000001	49	69
0,7000000000000001	50	502
0,7500000000000001	1	13
0,7500000000000001	2	12
0,7500000000000001	3	13
0,7500000000000001	4	12
0,7500000000000001	5	12
0,7500000000000001	6	39
0,7500000000000001	7	19
0,7500000000000001	8	14
0,7500000000000001	9	14
0,7500000000000001	10	15
0,7500000000000001	11	31
0,7500000000000001	12	12
0,7500000000000001	13	22
0,7500000000000001	14	15
0,7500000000000001	15	70
0,7500000000000001	16	22
0,7500000000000001	17	13
0,7500000000000001	18	15
0,7500000000000001	19	13
0,7500000000000001	20	16
0,7500000000000001	21	13
0,7500000000000001	22	28
0,7500000000000001	23	277
0,7500000000000001	24	388
0,7500000000000001	25	98
0,7500000000000001	26	104
0,7500000000000001	27	13
0,7500000000000001	28	16
0,7500000000000001	29	113
0,7500000000000001	30	17
0,7500000000000001	31	12
0,7500000000000001	32	12
0,7500000000000001	33	12
0,7500000000000001	34	12
0,7500000000000001	35	13
0,7500000000000001	36	135
0,7500000000000001	37	13
0,7500000000000001	38	25
0,7500000000000001	39	13
0,7500000000000001	40	341
0,7500000000000001	41	20
0,7500000000000001	42	16
0,7500000000000001	43	50
0,7500000000000001	44	15
0,7500000000000001	45	15
0,7500000000000001	46	24
0,7500000000000001	47	13
0,7500000000000001	48	15
0,7500000000000001	49	12
0,7500000000000001	50	12
0,8000000000000002	1	191
0,8000000000000002	2	20
0,8000000000000002	3	14
0,8000000000000002	4	12
0,8000000000000002	5	13
0,8000000000000002	6	15
0,8000000000000002	7	12
0,8000000000000002	8	176
0,8000000000000002	9	12
0,8000000000000002	10	13
0,8000000000000002	11	17
0,8000000000000002	12	13
0,8000000000000002	13	12
0,8000000000000002	14	13
0,8000000000000002	15	13
0,8000000000000002	16	12
0,8000000000000002	17	29
0,8000000000000002	18	12
0,8000000000000002	19	16
0,8000000000000002	20	13
0,8000000000000002	21	14
0,8000000000000002	22	13
0,8000000000000002	23	12
0,8000000000000002	24	12
0,8000000000000002	25	12
0,8000000000000002	26	16
0,8000000000000002	27	12
0,8000000000000002	28	12
0,8000000000000002	29	13
0,8000000000000002	30	21
0,8000000000000002	31	13
0,8000000000000002	32	12
0,8000000000000002	33	12
0,8000000000000002	34	12
0,8000000000000002	35	15
0,8000000000000002	36	12
0,8000000000000002	37	12
0,8000000000000002	38	12
0,8000000000000002	39	12
0,8000000000000002	40	12
0,8000000000000002	41	13
0,8000000000000002	42	13
0,8000000000000002	43	13
0,8000000000000002	44	12
0,8000000000000002	45	12
0,8000000000000002	46	14
0,8000000000000002	47	12
0,8000000000000002	48	14
0,8000000000000002	49	12
0,8000000000000002	50	13
0,8500000000000002	1	11
0,8500000000000002	2	12
0,8500000000000002	3	12
0,8500000000000002	4	12
0,8500000000000002	5	12
0,8500000000000002	6	12
0,8500000000000002	7	12
0,8500000000000002	8	12
0,8500000000000002	9	12
0,8500000000000002	10	12
0,8500000000000002	11	12
0,8500000000000002	12	13
0,8500000000000002	13	11
0,8500000000000002	14	13
0,8500000000000002	15	12
0,8500000000000002	16	12
0,8500000000000002	17	12
0,8500000000000002	18	11
0,8500000000000002	19	12
0,8500000000000002	20	12
0,8500000000000002	21	12
0,8500000000000002	22	12
0,8500000000000002	23	12
0,8500000000000002	24	12
0,8500000000000002	25	12
0,8500000000000002	26	12
0,8500000000000002	27	12
0,8500000000000002	28	13
0,8500000000000002	29	12
0,8500000000000002	30	12
0,8500000000000002	31	12
0,8500000000000002	32	12
0,8500000000000002	33	12
0,8500000000000002	34	12
0,8500000000000002	35	12
0,8500000000000002	36	13
0,8500000000000002	37	12
0,8500000000000002	38	12
0,8500000000000002	39	12
0,8500000000000002	40	12
0,8500000000000002	41	12
0,8500000000000002	42	11
0,8500000000000002	43	12
0,8500000000000002	44	12
0,8500000000000002	45	12
0,8500000000000002	46	11
0,8500000000000002	47	12
0,8500000000000002	48	12
0,8500000000000002	49	12
0,8500000000000002	50	14
